ProblemSet,RavensProblem,Agent's Answer
Basic Problems E,Basic Problem E-01,8
Basic Problems E,Basic Problem E-02,-1
Basic Problems E,Basic Problem E-03,2
Basic Problems E,Basic Problem E-04,-1
Basic Problems E,Basic Problem E-05,-1
Basic Problems E,Basic Problem E-06,-1
Basic Problems E,Basic Problem E-07,1
Basic Problems E,Basic Problem E-08,-1
Basic Problems E,Basic Problem E-09,-1
Basic Problems E,Basic Problem E-10,8
Basic Problems E,Basic Problem E-11,-1
Basic Problems E,Basic Problem E-12,6
